"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
16,467.7368421053,6,3.5,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
18,423.1904761905,6,3.3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Large Car",1993,"N","N","N"
16,467.7368421053,6,3.5,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
10,807.9090909091,8,5.8,"Rear-Wheel Drive","Regular Gasoline",12,"Automatic","Van",1985,"N","N","N"
16,467.7368421053,8,4.6,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
15,493.7222222222,6,3.8,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
16,467.7368421053,8,4.6,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
16,467.7368421053,8,4.6,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Large Car",1993,"N","N","N"
18,535.7894736842,6,3.5,"Rear-Wheel Drive","Diesel",22,"Automatic","Large Car",1993,"Y","N","N"
14,592.4666666667,6,3.2,"Rear-Wheel Drive","Premium Gasoline",18,"Automatic","Large Car",1993,"N","N","N"
13,634.7857142857,8,4.2,"Rear-Wheel Drive","Premium Gasoline",17,"Automatic","Large Car",1993,"N","N","N"
12,683.6153846154,8,5,"Rear-Wheel Drive","Premium Gasoline",16,"Automatic","Large Car",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Large Car",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Large Car",1993,"N","N","N"
14,592.4666666667,6,4.3,"Rear-Wheel Drive","Regular Gasoline",16,"Automatic","Van",1985,"N","N","N"
15,493.7222222222,6,3.8,"Front-Wheel Drive","Premium Gasoline",25,"Automatic","Large Car",1993,"N","Y","N"
15,493.7222222222,6,3.8,"Front-Wheel Drive","Premium Gasoline",23,"Automatic","Large Car",1993,"N","Y","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Large Car",1993,"N","N","N"
9,807.9090909091,8,6.8,"Rear-Wheel Drive","Premium Gasoline",13,"Automatic","Large Car",1993,"N","N","N"
15,493.7222222222,4,2.3,"Front-Wheel Drive","Regular Gasoline",23,"Automatic","Large Car",1993,"N","N","N"
16,493.7222222222,4,2.3,"Front-Wheel Drive","Regular Gasoline",22,"Automatic","Large Car",1993,"Y","N","N"
17,467.7368421053,4,2.3,"Front-Wheel Drive","Regular Gasoline",24,"Manual","Large Car",1993,"N","N","N"
17,444.35,4,2.3,"Front-Wheel Drive","Regular Gasoline",25,"Manual","Large Car",1993,"Y","N","N"
16,493.7222222222,6,2.8,"4-Wheel Drive","Premium Gasoline",20,"Automatic","Small Station Wagon",1993,"N","N","N"
16,467.7368421053,6,2.5,"Rear-Wheel Drive","Premium Gasoline",23,"Automatic","Small Station Wagon",1993,"N","N","N"
